"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity","Line","Position","Source","Target","Server IP address and port","Database name","Schema name"
"procedure","Databases.pubs.Schemas.dbo.Procedures.Ten Most Expensive Products","7674","ROWCOUNT, SET","DMS SC can't convert unknown clauses","DMS SC can't convert the ROWCOUNT clause of the SET statement","","Convert your source code manually.","","Simple","3","57","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
"procedure","Databases.pubs.Schemas.dbo.Procedures.CustOrderHist","7795","","In PostgreSQL, string operations are case sensitive","In PostgreSQL, string operations are case sensitive","","Review the converted code to make sure that it compares strings correctly.","","Simple","5","164","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
"procedure","Databases.pubs.Schemas.dbo.Procedures.CustOrderHist","7795","","In PostgreSQL, string operations are case sensitive","In PostgreSQL, string operations are case sensitive","","Review the converted code to make sure that it compares strings correctly.","","Simple","6","196","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
"procedure","Databases.pubs.Schemas.dbo.Procedures.CustOrdersOrders","7795","","In PostgreSQL, string operations are case sensitive","In PostgreSQL, string operations are case sensitive","","Review the converted code to make sure that it compares strings correctly.","","Simple","9","141","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
"procedure","Databases.pubs.Schemas.dbo.Procedures.SalesByCategory","7795","","In PostgreSQL, string operations are case sensitive","In PostgreSQL, string operations are case sensitive","","Review the converted code to make sure that it compares strings correctly.","","Simple","4","104","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
"procedure","Databases.pubs.Schemas.dbo.Procedures.SalesByCategory","7795","","In PostgreSQL, string operations are case sensitive","In PostgreSQL, string operations are case sensitive","","Review the converted code to make sure that it compares strings correctly.","","Simple","4","127","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
"procedure","Databases.pubs.Schemas.dbo.Procedures.SalesByCategory","7795","","In PostgreSQL, string operations are case sensitive","In PostgreSQL, string operations are case sensitive","","Review the converted code to make sure that it compares strings correctly.","","Simple","4","150","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
"procedure","Databases.pubs.Schemas.dbo.Procedures.SalesByCategory","7795","","In PostgreSQL, string operations are case sensitive","In PostgreSQL, string operations are case sensitive","","Review the converted code to make sure that it compares strings correctly.","","Simple","15","495","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
"procedure","Databases.pubs.Schemas.dbo.Procedures.SalesByCategory","7795","","In PostgreSQL, string operations are case sensitive","In PostgreSQL, string operations are case sensitive","","Review the converted code to make sure that it compares strings correctly.","","Simple","16","532","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
"procedure","Databases.pubs.Schemas.dbo.Procedures.reptq3","7795","","In PostgreSQL, string operations are case sensitive","In PostgreSQL, string operations are case sensitive","","Review the converted code to make sure that it compares strings correctly.","","Simple","10","307","Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs","Amazon Aurora (PostgreSQL compatible)","41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:1433","pubs","pubs.dbo"
